id,name,slug,source
126244,Ionescu O.,ionescu-ovidiu,sofascore
25076,Achanta S.,achanta-sharath-kamal,sofascore
195056,Pak S.,pak-sin-hyok,sofascore
25081,Crisan A.,crisan-adrian,sofascore
195055,Papageorgiou K.,papageorgiou-konstantinos,sofascore
141640,Filimon A.,filimon-andrei,sofascore
126220,Gauzy S.,gauzy-simon,sofascore
76851,Pereira A.,pereira-andy,sofascore
182741,Gnanasekaran S.,gnanasekaran-sathiyan,sofascore
131644,Katkov I.,katkov-ivan,sofascore
25095,Monteiro T.,monteiro-thiago,sofascore
195040,Sereda P.,sereda-peter,sofascore
195057,Choe I.,choe-il,sofascore
195053,Zibrat J.,zibrat-jan,sofascore
194916,Adriana Díaz,diaz-adriana,sofascore
147968,Batra M.,batra-manika,sofascore
76883,Oshonaike O.,oshonaike-olufunke,sofascore
194919,Luo A.,luo-anqi,sofascore
194915,Fajmut M.,fajmut-manca,sofascore
194914,Gui L.,gui-lin,sofascore
24924,Pesotska M.,pesotska-margaryta,sofascore
194909,Guan A.,guan-angela,sofascore
194912,Jha P.,jha-prachi,sofascore
194910,Jonsson J.,jonsson-jennifer,sofascore
194911,Mittelham N.,mittelham-nina,sofascore
25033,Kim J.,kim-jong,sofascore
194939,Moret R.,moret-rachel,sofascore
194941,Sock Khim NG.,ng-sock-khim,sofascore
194942,Lee Z.,lee-zion,sofascore
194917,Karova A.,karova-anelia,sofascore
194960,Yee H.,yee-herng-hwee,sofascore
194952,Rios D.,rios-daniely,sofascore
126092,Gaponova G.,gaponova-g,sofascore
147934,Arlouskaya A.,arlouskaya-alina,sofascore
194955,Samet M.,samet-maryam,sofascore
194908,Vega P.,vega-paulina,sofascore
126094,Eerland B.,eerland-britt,sofascore
194920,Todorovic A.,todorovic-andrea,sofascore
76879,El-Dawlatly N.,el-dawlatly-nadeen,sofascore
24935,Zhang M.,zhang-mo,sofascore
194918,Gats Y.,gats-yuliya,sofascore
146890,Hirici C.,hirici-cristina,sofascore
194913,Sladkova N.,sladkova-nataliya,sofascore
183681,Khetkhuan T.,khetkhuan-t,sofascore
25035,Komwong N.,komwong-nanthana,sofascore
147928,Kumaresan S.,kumaresan-shamini,sofascore
194945,Das M.,das-mouma,sofascore
194946,Oliveira L.,oliveira-leila,sofascore
76897,Meshref D.,meshref-dina,sofascore
194948,Pavcnik T.,pavcnik-tamara,sofascore
126114,Grzybowska K.,grzybowska-katarzyna,sofascore
24920,Odorova E.,odorova-eva,sofascore
76885,Silva L.,silva-ligia,sofascore
194953,Lee R.,lee-rou-you,sofascore
126108,Strbikova R.,strbikova-renata,sofascore
194959,Ruano L.,ruano-lady,sofascore
194943,Hwang J.,hwang-jina,sofascore
194944,ZI MU.,mu-zi,sofascore
194922,Stuckyte E.,stuckyte-egle,sofascore
194921,Gelman S.,gelman-shelli,sofascore
76887,Han X.,han-xing,sofascore
76895,Hanffou S.,hanffou-sarah,sofascore
208097,Xian Y.,xian-yifang,sofascore
194923,Hugh J.,hugh-judy,sofascore
24917,Medina P.,medina-paula,sofascore
25172,Jiao Li.,li-jiao,sofascore
194938,Kim H.,kim-hye-song,sofascore
24915,Lay J.,lay-jian-fang,sofascore
194940,Galic A.,galic-alex,sofascore
194950,MI Gyong RI.,ri-mi-gyong,sofascore
194951,Lorenzotti M.,lorenzotti-maria,sofascore
24930,Silva Y.,silva-yadira,sofascore
194947,Papadaki A.,papadaki-angelika,sofascore
194949,Petek P.,petek-petra,sofascore
194924,Erdelji A.,erdelji-ana-maria,sofascore
25118,Qiangbing Li.,li-qiangbing,sofascore
183687,Sawettabut S.,sawettabut-s,sofascore
177738,Szocs B.,szocs-bernadette,sofascore
194954,Umbacia A.,umbacia-angie,sofascore
194957,Toliou A.,toliou-aikaterini,sofascore
194958,Trosman N.,trosman-nicole,sofascore
194956,Piccolin G.,piccolin-giorgia,sofascore
194709,Fertikowski P / Grzybowska K,fertikowski-p-grzybowska-k,sofascore
194710,Mutti L / Piccolin G,mutti-l-piccolin-g,sofascore
194801,XU X / Yang H,xu-x-yang-h,sofascore
